[356,320,366,400,403,387,352,304,374,322,386,268,320,354,367,362,268,300,355,
 256,410,391,361,324,331,259,357,410,296,414,410,398,299,308,381,352,290,271,
 278,283,294,407,383,311,300,330,259,352,413,409,308,418,310,354,324,258,275,
 350,311,260,397,353,364,358,373,394,380,411,411,288,264,387,344,308,345,321,
 357,358,387,347,266,318,313,398,308,401,310,350,292,383,406,387,279,310,340,
 301,400,289,406,274,368,393,361,392,272,399,378,284,268,342,272,279,402,311,
 361,365,351,346,267,285,352,263,369,268,348,318,330,263,335,389,293,401,321,
 405,296,307,378,266,319,419,264,325,405,323,384,263,291,351,412,335,271,272,
 308,380,384,355,312,391,315,296,350,313,400,361,412,395,344,267,332,260,275,
 324,413,282,328,359,266,331,415,337,272,385,311,284,330,384,293,341,407,374,
 395,414,415,261,383,385]
